keyword,l1,l2,l3
清酒,酒類・調味酒（製品）,清酒,NONE
その他食品,原料・副産物,その他食品,NONE
酵母,微生物,酵母,NONE
麹菌,微生物,麹菌,NONE
その他,その他,その他,NONE
醸造技術,その他,その他,NONE
焼酎・蒸留酒,酒類・調味酒（製品）,焼酎・蒸留酒,NONE
ワイン,酒類・調味酒（製品）,ワイン,NONE
ビール,酒類・調味酒（製品）,ビール,NONE
水・環境・容器,製造環境・資材,製造環境,NONE
品質管理,その他,その他,NONE
官能評価,その他,その他,NONE
醸造学,その他,その他,NONE
Aspergillus,微生物,麹菌,Aspergillus
酒粕,原料・副産物,酒粕,NONE
香気成分,化学成分,香気成分,NONE
成分分析,その他,その他,NONE
醸造微生物,その他,その他,NONE
味醂・リキュール,酒類・調味酒（製品）,味醂・リキュール,NONE
官能特性,その他,その他,NONE
清酒醸造,酒類・調味酒（製品）,清酒,NONE
酵母育種,微生物,酵母,NONE
醸造微生物学,その他,その他,NONE
醸造特性,その他,その他,NONE
原料処理,その他,その他,NONE
微生物利用,その他,その他,NONE
oryzae,微生物,麹菌,Aspergillus oryzae
吟醸酒,酒類・調味酒（製品）,清酒,吟醸酒
酵素活性,化学成分,ペプチド・タンパク質,酵素活性
山田錦,酒類・調味酒（製品）,清酒,山田錦
精米歩合,酒類・調味酒（製品）,清酒,NONE
日本酒,酒類・調味酒（製品）,清酒,NONE
バイオテクノロジー,その他,その他,NONE
発酵制御,その他,その他,NONE
酵素化学,その他,その他,NONE
醤油,原料・副産物,その他食品,NONE
カプロン酸エチル,化学成分,香気成分,カプロン酸エチル
Saccharomyces,微生物,酵母,Saccharomyces
味噌,原料・副産物,その他食品,NONE
乳酸菌,微生物,乳酸菌,NONE
食品安全,その他,その他,NONE
醸造史,その他,その他,NONE
機能性食品,原料・副産物,その他食品,NONE
健康機能性,その他,その他,NONE
品質評価,その他,その他,NONE
品質向上,その他,その他,NONE
発酵食品,原料・副産物,その他食品,NONE
酒造好適米,酒類・調味酒（製品）,清酒,NONE
市場動向,その他,その他,NONE
清酒酵母,微生物,酵母,NONE
醤油醸造,原料・副産物,その他食品,NONE
cerevisiae,微生物,酵母,cerevisiae
酢酸イソアミル,化学成分,香気成分,酢酸イソアミル
微生物制御,その他,その他,NONE
遺伝子工学,その他,その他,NONE
発酵管理,その他,その他,NONE
醸造文化,その他,その他,NONE
蒸留酒,酒類・調味酒（製品）,焼酎・蒸留酒,NONE
Lactobacillus,微生物,乳酸菌,Lactobacillus
産業振興,その他,その他,NONE
発酵工学,その他,その他,NONE
α-アミラーゼ,化学成分,ペプチド・タンパク質,α-アミラーゼ
プロテアーゼ,化学成分,ペプチド・タンパク質,プロテアーゼ
味噌醸造,原料・副産物,その他食品,NONE
地域ブランド,その他,その他,NONE
食品開発,原料・副産物,その他食品,NONE
遺伝子解析,その他,その他,NONE
白酒,酒類・調味酒（製品）,焼酎・蒸留酒,NONE
機能性成分,その他,その他,NONE
衛生管理,製造環境・資材,製造環境,NONE
伝統技術,その他,その他,NONE
グルコアミラーゼ,化学成分,ペプチド・タンパク質,グルコアミラーゼ
醸造適性,その他,その他,NONE
Zygosaccharomyces,微生物,酵母,Zygosaccharomyces
食文化,その他,その他,NONE
醸造試験所,その他,その他,NONE
rouxii,微生物,酵母,rouxii
酒類総合研究所,その他,その他,NONE
分子生物学,その他,その他,NONE
伝統食品,原料・副産物,その他食品,NONE
